fixture_id,type,tool_name,expected_status,actual_status,passed,issues_count,scan_time_ms,rule,error
corpus-attacks:boundary-evasion/boundary-evasion-003.json,attacks,read_file,critical,critical,yes,1,25.03,resource-null-byte,
corpus-attacks:boundary-evasion/boundary-evasion-004.json,attacks,read_file,critical,critical,yes,1,25.01,semantic-path-guard,
corpus-attacks:boundary-evasion/boundary-evasion-005.json,attacks,read_file,critical,critical,yes,1,25.02,semantic-path-guard,
corpus-attacks:boundary-evasion/boundary-evasion-006.json,attacks,read_file,critical,critical,yes,1,25.01,block-path-traversal,
corpus-attacks:boundary-evasion/boundary-evasion-008.json,attacks,write_file,critical,critical,yes,1,25.03,default,
corpus-attacks:boundary-evasion/boundary-evasion-009.json,attacks,read_file,critical,critical,yes,1,91.47,semantic-path-guard,
corpus-attacks:boundary-evasion/boundary-evasion-010.json,attacks,execute_command,critical,critical,yes,1,25.01,deny-dangerous-tools,
corpus-attacks:command-injection/command-injection-001.json,attacks,execute_command,critical,critical,yes,1,25.02,request-prompt-injection,
corpus-attacks:command-injection/command-injection-002.json,attacks,execute_command,critical,critical,yes,1,25.01,deny-dangerous-tools,
corpus-attacks:command-injection/command-injection-003.json,attacks,execute_command,critical,critical,yes,1,25.01,deny-dangerous-tools,
corpus-attacks:command-injection/command-injection-004.json,attacks,execute_command,critical,critical,yes,1,25.01,deny-dangerous-tools,
corpus-attacks:command-injection/command-injection-005.json,attacks,execute_command,critical,critical,yes,1,25.01,request-prompt-injection,
corpus-attacks:command-injection/command-injection-006.json,attacks,execute_command,critical,critical,yes,1,25.01,deny-dangerous-tools,
corpus-attacks:context-injection/context-injection-001.json,attacks,template_render,critical,critical,yes,1,25.01,semantic-ssti-guard,
corpus-attacks:context-injection/context-injection-002.json,attacks,template_render,critical,critical,yes,1,25.01,semantic-ssti-guard,
corpus-attacks:context-injection/context-injection-003.json,attacks,template_render,critical,critical,yes,1,25.02,semantic-ssti-guard,
corpus-attacks:context-injection/context-injection-004.json,attacks,template_render,critical,critical,yes,1,25.01,semantic-ssti-guard,
corpus-attacks:context-injection/context-injection-005.json,attacks,template_render,critical,critical,yes,1,25.01,semantic-ssti-guard,
corpus-attacks:context-injection/context-injection-006.json,attacks,template_render,critical,critical,yes,1,25.01,semantic-ssti-guard,
corpus-attacks:context-injection/context-injection-007.json,attacks,render_markdown,critical,critical,yes,1,25.01,semantic-ssti-guard,
corpus-attacks:context-injection/context-injection-008.json,attacks,render_markdown,critical,critical,yes,1,25.01,semantic-ssti-guard,
corpus-attacks:context-injection/context-injection-009.json,attacks,send_message,critical,critical,yes,1,25.01,default,
corpus-attacks:context-injection/context-injection-010.json,attacks,send_message,critical,critical,yes,1,25.01,encoding-evasion-guard,
corpus-attacks:credential-exfil/cred-001.json,attacks,read_file,critical,critical,yes,1,25.01,semantic-path-guard,
corpus-attacks:credential-exfil/cred-002.json,attacks,read_file,critical,critical,yes,1,25.01,semantic-path-guard,
corpus-attacks:credential-exfil/cred-003.json,attacks,read_file,critical,critical,yes,1,25.01,semantic-path-guard,
corpus-attacks:credential-exfil/cred-004.json,attacks,read_file,critical,critical,yes,1,25.01,semantic-path-guard,
corpus-attacks:credential-exfil/cred-005.json,attacks,read_file,critical,critical,yes,1,25.01,semantic-path-guard,
corpus-attacks:credential-exfil/cred-006.json,attacks,read_file,critical,critical,yes,1,25.01,semantic-path-guard,
corpus-attacks:credential-exfil/cred-007.json,attacks,read_file,critical,critical,yes,1,25.01,block-sensitive-paths,
corpus-attacks:credential-exfil/cred-008.json,attacks,read_file,critical,critical,yes,1,25.01,block-sensitive-paths,
corpus-attacks:credential-exfil/cred-009.json,attacks,read_file,critical,critical,yes,1,25.01,block-sensitive-paths,
corpus-attacks:credential-exfil/cred-010.json,attacks,read_file,critical,critical,yes,1,25.01,block-sensitive-paths,
corpus-attacks:credential-exfil/cred-011.json,attacks,read_file,critical,critical,yes,1,25.01,block-sensitive-paths,
corpus-attacks:credential-exfil/cred-012.json,attacks,read_file,critical,critical,yes,1,25.01,semantic-path-guard,
corpus-attacks:credential-exfil/cred-013.json,attacks,read_file,critical,critical,yes,1,25.02,semantic-path-guard,
corpus-attacks:credential-exfil/cred-014.json,attacks,read_file,critical,critical,yes,1,25.01,semantic-path-guard,
corpus-attacks:credential-exfil/cred-015.json,attacks,read_file,critical,critical,yes,1,25.01,semantic-path-guard,
corpus-attacks:credential-exfil/cred-016.json,attacks,read_file,critical,critical,yes,1,25.01,semantic-path-guard,
corpus-attacks:credential-exfil/cred-017.json,attacks,read_file,critical,critical,yes,1,25.01,semantic-path-guard,
corpus-attacks:credential-exfil/cred-018.json,attacks,read_file,critical,critical,yes,1,25.01,semantic-path-guard,
corpus-attacks:credential-exfil/cred-019.json,attacks,read_file,critical,critical,yes,1,25.01,semantic-path-guard,
corpus-attacks:credential-exfil/cred-020.json,attacks,read_file,critical,critical,yes,1,25.01,semantic-path-guard,
corpus-attacks:credential-exfil/cred-021.json,attacks,read_file,critical,critical,yes,1,25.01,block-sensitive-paths,
corpus-attacks:credential-exfil/cred-022.json,attacks,read_file,critical,critical,yes,1,25.01,block-sensitive-paths,
corpus-attacks:credential-exfil/cred-024.json,attacks,read_file,critical,critical,yes,1,25.01,block-sensitive-paths,
corpus-attacks:credential-exfil/cred-027.json,attacks,search,critical,critical,yes,1,25.01,request-prompt-injection,
corpus-attacks:cross-tool-chain/chain-001.json,attacks,search,critical,critical,yes,1,25.01,request-prompt-injection,
corpus-attacks:cross-tool-chain/chain-002.json,attacks,search,critical,critical,yes,1,25.01,request-prompt-injection,
corpus-attacks:cross-tool-chain/chain-003.json,attacks,search,critical,critical,yes,1,25.01,request-prompt-injection,
corpus-attacks:cross-tool-chain/chain-004.json,attacks,search,critical,critical,yes,1,25.01,request-prompt-injection,
corpus-attacks:cross-tool-chain/chain-005.json,attacks,search,critical,critical,yes,1,25.01,request-prompt-injection,
corpus-attacks:cross-tool-chain/chain-006.json,attacks,search,critical,critical,yes,1,25.01,request-prompt-injection,
corpus-attacks:cross-tool-chain/chain-007.json,attacks,search,critical,critical,yes,1,25.01,request-prompt-injection,
corpus-attacks:cross-tool-chain/chain-008.json,attacks,search,critical,critical,yes,1,25.01,request-prompt-injection,
corpus-attacks:cross-tool-chain/chain-009.json,attacks,search,critical,critical,yes,1,25.0,request-prompt-injection,
corpus-attacks:cross-tool-chain/chain-010.json,attacks,search,critical,critical,yes,1,25.01,semantic-shell-guard,
corpus-attacks:cross-tool-chain/chain-011.json,attacks,search,critical,critical,yes,1,25.01,request-prompt-injection,
corpus-attacks:cross-tool-chain/chain-012.json,attacks,search,critical,critical,yes,1,25.01,request-prompt-injection,
corpus-attacks:cross-tool-chain/chain-013.json,attacks,search,critical,critical,yes,1,25.0,request-prompt-injection,
corpus-attacks:cross-tool-chain/chain-014.json,attacks,search,critical,critical,yes,1,25.01,request-prompt-injection,
corpus-attacks:cross-tool-chain/chain-015.json,attacks,search,critical,critical,yes,1,25.01,semantic-url-guard,
corpus-attacks:cross-tool-chain/chain-016.json,attacks,search,critical,critical,yes,1,25.0,request-prompt-injection,
corpus-attacks:dangerous-js/dangerous-js-001.json,attacks,execute_code,critical,critical,yes,1,25.0,encoding-evasion-guard,
corpus-attacks:dangerous-js/dangerous-js-002.json,attacks,execute_code,critical,critical,yes,1,25.01,default,
corpus-attacks:dangerous-js/dangerous-js-003.json,attacks,execute_code,critical,critical,yes,1,25.01,encoding-evasion-guard,
corpus-attacks:dangerous-js/dangerous-js-004.json,attacks,execute_code,critical,critical,yes,1,25.0,default,
corpus-attacks:dangerous-js/dangerous-js-005.json,attacks,execute_code,critical,critical,yes,1,25.01,default,
corpus-attacks:dangerous-js/dangerous-js-006.json,attacks,render_html,critical,critical,yes,1,25.0,default,
corpus-attacks:dangerous-js/dangerous-js-007.json,attacks,render_html,critical,critical,yes,1,25.01,default,
corpus-attacks:dangerous-js/dangerous-js-008.json,attacks,execute_code,critical,critical,yes,1,25.01,default,
corpus-attacks:deserialization/deserialization-001.json,attacks,cache_set,critical,critical,yes,1,25.01,semantic-shell-guard,
corpus-attacks:deserialization/deserialization-002.json,attacks,cache_set,critical,critical,yes,1,25.01,block-path-traversal,
corpus-attacks:deserialization/deserialization-003.json,attacks,execute_code,critical,critical,yes,1,25.01,semantic-language-gadget,
corpus-attacks:deserialization/deserialization-004.json,attacks,execute_code,critical,critical,yes,1,25.01,semantic-language-gadget,
corpus-attacks:deserialization/deserialization-005.json,attacks,execute_code,critical,critical,yes,1,25.01,semantic-shell-guard,
corpus-attacks:deserialization/deserialization-006.json,attacks,execute_code,critical,critical,yes,1,25.01,default,
corpus-attacks:deserialization/deserialization-007.json,attacks,template_render,critical,critical,yes,1,25.01,semantic-language-gadget,
corpus-attacks:deserialization/deserialization-008.json,attacks,execute_code,critical,critical,yes,1,25.0,semantic-dns-exfil,
